ID;lotId;materialId;characteristic;equipment;measuredValue;unit;conforming;lotDate;plant
00000009-0000-0000-0000-000000000078;0010000078;MAT-10905;Thread depth;WC-MILL-07-TAP2;15.0 mm;mm;true;2026-02-07;1000
00000010-0000-0000-0000-000000000079;0010000079;MAT-11002;Material hardness;WC-PRESS-09-TOOL1;214 HV;HV;false;2026-02-10;1000
00000010-0000-0000-0000-000000000080;0010000080;MAT-11002;Material hardness;WC-PRESS-09-TOOL1;214 HV;HV;false;2026-02-11;1000
00000010-0000-0000-0000-000000000081;0010000081;MAT-11002;Material hardness;WC-PRESS-09-TOOL1;214 HV;HV;false;2026-02-12;1000
00000010-0000-0000-0000-000000000082;0010000082;MAT-11002;Material hardness;WC-PRESS-09-TOOL2;145 HV;HV;true;2026-02-05;1000
00000010-0000-0000-0000-000000000083;0010000083;MAT-11002;Material hardness;WC-PRESS-09-TOOL2;145 HV;HV;true;2026-02-06;1000
00000010-0000-0000-0000-000000000084;0010000084;MAT-11002;Material hardness;WC-PRESS-09-TOOL2;145 HV;HV;true;2026-02-07;1000
00000011-0000-0000-0000-000000000085;0010000085;MAT-11130;Bore true position;WC-MILL-11-F1;0.19 mm;mm;false;2026-02-10;1000
00000011-0000-0000-0000-000000000086;0010000086;MAT-11130;Bore true position;WC-MILL-11-F1;0.19 mm;mm;false;2026-02-11;1000
00000011-0000-0000-0000-000000000087;0010000087;MAT-11130;Bore true position;WC-MILL-11-F1;0.19 mm;mm;false;2026-02-12;1000
00000011-0000-0000-0000-000000000088;0010000088;MAT-11130;Bore true position;WC-MILL-11-F2;0.04 mm;mm;true;2026-02-05;1000
00000011-0000-0000-0000-000000000089;0010000089;MAT-11130;Bore true position;WC-MILL-11-F2;0.04 mm;mm;true;2026-02-06;1000
00000011-0000-0000-0000-000000000090;0010000090;MAT-11130;Bore true position;WC-MILL-11-F2;0.04 mm;mm;true;2026-02-07;1000
00000012-0000-0000-0000-000000000091;0010000091;MAT-11388;Gloss 60 degree;WC-PAINT-03-ROBOT1;71 GU;GU;false;2026-02-10;1000
00000012-0000-0000-0000-000000000092;0010000092;MAT-11388;Gloss 60 degree;WC-PAINT-03-ROBOT1;71 GU;GU;false;2026-02-11;1000
00000012-0000-0000-0000-000000000093;0010000093;MAT-11388;Gloss 60 degree;WC-PAINT-03-ROBOT1;71 GU;GU;false;2026-02-12;1000
00000012-0000-0000-0000-000000000094;0010000094;MAT-11388;Gloss 60 degree;WC-PAINT-03-ROBOT2;86 GU;GU;true;2026-02-05;1000
00000012-0000-0000-0000-000000000095;0010000095;MAT-11388;Gloss 60 degree;WC-PAINT-03-ROBOT2;86 GU;GU;true;2026-02-06;1000
00000012-0000-0000-0000-000000000096;0010000096;MAT-11388;Gloss 60 degree;WC-PAINT-03-ROBOT2;86 GU;GU;true;2026-02-07;1000
00000013-0000-0000-0000-000000000097;0010000097;MAT-88410;Helium Leak Rate at 8.0 bar test pressure;WC-TEST-03-CHAMBER1;1.45 sccm;sccm;false;2026-02-10;1000
00000013-0000-0000-0000-000000000098;0010000098;MAT-88410;Helium Leak Rate at 8.0 bar test pressure;WC-TEST-03-CHAMBER1;1.45 sccm;sccm;false;2026-02-11;1000
00000013-0000-0000-0000-000000000099;0010000099;MAT-88410;Helium Leak Rate at 8.0 bar test pressure;WC-TEST-03-CHAMBER1;1.45 sccm;sccm;false;2026-02-12;1000
00000013-0000-0000-0000-000000000100;0010000100;MAT-88410;Helium Leak Rate at 8.0 bar test pressure;WC-TEST-03-CHAMBER2;0.08 sccm;sccm;true;2026-02-05;1000
00000013-0000-0000-0000-000000000101;0010000101;MAT-88410;Helium Leak Rate at 8.0 bar test pressure;WC-TEST-03-CHAMBER2;0.08 sccm;sccm;true;2026-02-06;1000
00000013-0000-0000-0000-000000000102;0010000102;MAT-88410;Helium Leak Rate at 8.0 bar test pressure;WC-TEST-03-CHAMBER2;0.08 sccm;sccm;true;2026-02-07;1000
00000013-0000-0000-0000-000000000103;0010000103;MAT-88410;O-ring sealing seat surface roughness (Ra);WC-TEST-03-CHAMBER1;1.85 um;um;false;2026-02-10;1000
00000013-0000-0000-0000-000000000104;0010000104;MAT-88410;O-ring sealing seat surface roughness (Ra);WC-TEST-03-CHAMBER1;1.85 um;um;false;2026-02-11;1000
00000013-0000-0000-0000-000000000105;0010000105;MAT-88410;O-ring sealing seat surface roughness (Ra);WC-TEST-03-CHAMBER1;1.85 um;um;false;2026-02-12;1000
00000013-0000-0000-0000-000000000106;0010000106;MAT-88410;O-ring sealing seat surface roughness (Ra);WC-TEST-03-CHAMBER2;0.35 um;um;true;2026-02-05;1000
00000013-0000-0000-0000-000000000107;0010000107;MAT-88410;O-ring sealing seat surface roughness (Ra);WC-TEST-03-CHAMBER2;0.35 um;um;true;2026-02-06;1000
00000013-0000-0000-0000-000000000108;0010000108;MAT-88410;O-ring sealing seat surface roughness (Ra);WC-TEST-03-CHAMBER2;0.35 um;um;true;2026-02-07;1000
